_id,descricao,categoria,preco,precofinal,imagem
6026ba8a6680063334f24a62,Geladeira Frost Free Brastemp,Geladeira,6389.00,5019.00,geladeira2.png
6026bba6f291592ff82b929f,Geladeira Frost Free Brastemp Branca,Geladeira,2068.60,1910.90,geladeira.png
6026c272f291592ff82b92a0,Geladeira Frost Free Consul Prata,Geladeira,2100.00,2069.00,geladeira3.png
6026c2eaf291592ff82b92a1,Fogão 4 Bocas Consul ínox c/ Vidro,Fogao,1200.00,1129.00,fogao2.png
6026c307f291592ff82b92a2,Fogão de Piso 4 Bocas Atlas Monaco,Fogao,600.00,519.70,fogao.png
6026c337f291592ff82b92a3,Micro-ondas Philco Espelhado,Microondas,580.00,408.88,microondas3.png
6026c344f291592ff82b92a4,Micro-ondas Eletrolux Espelhado,Microondas,508.70,464.52,microondas2.png
6026c351f291592ff82b92a5,Micro-ondas Electrolux Brano,Microondas,450.00,436.05,microondas.png
6026c35ef291592ff82b92a6,Lavadoura de Roupas Brastemp,Lavadoura,1699.00,1214.10,lavadoura.png
6026d1e3f291592ff82b92a7,Lavadoura de Roupa Philco Inverse,Lavadoura,2399.90,2179.90,lavadoura2.png
6026d1fbf291592ff82b92a8,Lava-Louças Electrolux Ínox,Lavalouca,3500.00,2799.90,lavalouca2.png
6026d20bf291592ff82b92a9,Lava-Louças Compacta Branca,Lavalouca,1970.50,1730.61,lavalouca.png
